rps,diff_begin,diff_end,diff_max
500,201116,30549,2168494
750,134399,32385,1451324
1000,101052,31421,1093008
1500,67782,31295,735130
2000,51038,30402,556019
2500,41100,30535,449173
3000,34421,31238,378066
3500,29641,43842,327150
4000,26106,71059,289352
4500,23319,101970,259694
5000,21108,133960,278998
10000,11079,387152,443932
15000,7676,513662,542590
25000,4973,601825,621070
50000,2673,669775,684063
75000,1591,659952,669517
100000,4427,659889,667929
