batch_size,time_elapsed
5,120.5733904838562
6,104.55398321151733
7,87.78606653213501
8,79.81598925590515
9,68.82381224632263
10,65.03922653198242
20,41.79341697692871
30,37.262091398239136
40,37.99604058265686
50,35.67425560951233
100,33.14427614212036
500,31.34553074836731
1000,32.705596685409546
5000,30.382311820983887
10000,29.062991857528687
50000,28.363160133361816
100000,27.219668865203857
500000,25.596618175506592
1000000,25.449671506881714
5000000,24.275550842285156
10000000,24.092108011245728
