rps,diff_begin,diff_end,diff_max
25000,2028,1765,3756
50000,2037,1702,2789
100000,1533,1690,2227
125000,1232,1777,2200
150000,1368,1799,2149
175000,1164,1722,2023
200000,1281,1753,2016
225000,1128,1763,1996
250000,1233,2060,2541
275000,1107,2160,2965
300000,1200,2533,3893
325000,1095,2640,3923
350000,1177,3189,5054
375000,1242,4223,7003
400000,1154,4510,7860
425000,1215,5613,10746
450000,1139,6357,12118
475000,1204,7012,12746
500000,1145,8203,13352
600000,1112,14246,14322
700000,1092,29999,30137
800000,1201,31559,31619
900000,1145,21813,21937
1000000,1279,32359,32413
